"Name","Team","AVG","OBP","SLG","playerid"
"Miguel Cabrera","DET",".256",".316",".386","1744"
"Raimel Tapia","COL",".273",".327",".372","14350"
"Jose Iglesias","- - -",".271",".309",".391","10231"
"Cesar Hernandez","- - -",".232",".308",".386","10556"
"Tommy Edman","STL",".262",".308",".387","19470"
"Randal Grichuk","TOR",".241",".281",".423","10243"
"Nick Solak","TEX",".242",".314",".362","19294"
"Carlos Santana","KCR",".214",".319",".342","2396"
"Hunter Dozier","KCR",".216",".285",".394","15117"
"Isiah Kiner-Falefa","TEX",".271",".312",".357","16512"
"Michael A. Taylor","KCR",".244",".297",".356","11489"
"David Fletcher","LAA",".262",".297",".324","17992"
"Elvis Andrus","OAK",".243",".294",".320","8709"
"Kevin Newman","PIT",".226",".265",".309","17696"
